datetime,pid,date,segment,countscans,countscansmostuniquedevice,uniquedevices
2021-04-09 05:59:59,INS-W_1005,2021-04-09,morning,44.0,90.0,1.0
2021-04-09 11:59:59,INS-W_1005,2021-04-09,afternoon,52.0,1.0,4.0
2021-04-09 17:59:59,INS-W_1005,2021-04-09,evening,43.0,11.0,1.0
2021-04-09 23:59:59,INS-W_1005,2021-04-09,night,42.0,40.0,1.0
2021-04-10 05:59:59,INS-W_1005,2021-04-10,morning,61.0,90.0,3.0
2021-04-10 11:59:59,INS-W_1005,2021-04-10,afternoon,66.0,1.0,14.0
2021-04-10 17:59:59,INS-W_1005,2021-04-10,evening,45.0,11.0,4.0
2021-04-10 23:59:59,INS-W_1005,2021-04-10,night,36.0,40.0,2.0
2021-04-11 05:59:59,INS-W_1005,2021-04-11,morning,78.0,90.0,15.0
2021-04-11 11:59:59,INS-W_1005,2021-04-11,afternoon,96.0,1.0,5.0
2021-04-11 17:59:59,INS-W_1005,2021-04-11,evening,68.0,11.0,1.0
2021-04-11 23:59:59,INS-W_1005,2021-04-11,night,37.0,40.0,1.0
2021-04-12 05:59:59,INS-W_1005,2021-04-12,morning,107.0,90.0,3.0
2021-04-12 11:59:59,INS-W_1005,2021-04-12,afternoon,110.0,1.0,6.0
2021-04-12 17:59:59,INS-W_1005,2021-04-12,evening,57.0,11.0,5.0
2021-04-12 23:59:59,INS-W_1005,2021-04-12,night,41.0,40.0,1.0
2021-04-13 05:59:59,INS-W_1005,2021-04-13,morning,109.0,90.0,17.0
2021-04-13 11:59:59,INS-W_1005,2021-04-13,afternoon,95.0,1.0,3.0
2021-04-13 17:59:59,INS-W_1005,2021-04-13,evening,46.0,11.0,3.0
2021-04-13 23:59:59,INS-W_1005,2021-04-13,night,42.0,40.0,1.0
2021-04-14 05:59:59,INS-W_1005,2021-04-14,morning,88.0,90.0,4.0
2021-04-14 11:59:59,INS-W_1005,2021-04-14,afternoon,65.0,4.666666666666666,5.0
2021-04-14 17:59:59,INS-W_1005,2021-04-14,evening,87.0,11.0,2.0
2021-04-14 23:59:59,INS-W_1005,2021-04-14,night,38.0,40.0,3.0
2021-04-15 05:59:59,INS-W_1005,2021-04-15,morning,60.0,90.0,5.0
2021-04-15 11:59:59,INS-W_1005,2021-04-15,afternoon,110.0,8.333333333333332,6.0
2021-04-15 17:59:59,INS-W_1005,2021-04-15,evening,76.0,11.0,4.0
2021-04-15 23:59:59,INS-W_1005,2021-04-15,night,44.0,40.0,2.0
2021-04-16 05:59:59,INS-W_1005,2021-04-16,morning,143.0,90.0,28.0
2021-04-16 11:59:59,INS-W_1005,2021-04-16,afternoon,94.0,12.0,3.0
2021-04-16 17:59:59,INS-W_1005,2021-04-16,evening,95.0,11.0,5.0
2021-04-16 23:59:59,INS-W_1005,2021-04-16,night,40.0,40.0,1.0
2021-04-17 05:59:59,INS-W_1005,2021-04-17,morning,60.0,90.0,1.0
2021-04-17 11:59:59,INS-W_1005,2021-04-17,afternoon,56.0,15.666666666666666,2.0
2021-04-17 17:59:59,INS-W_1005,2021-04-17,evening,52.0,11.0,1.0
2021-04-17 23:59:59,INS-W_1005,2021-04-17,night,39.0,40.0,1.0
2021-04-18 05:59:59,INS-W_1005,2021-04-18,morning,66.0,90.0,1.0
2021-04-18 11:59:59,INS-W_1005,2021-04-18,afternoon,78.0,19.333333333333332,5.0
2021-04-18 17:59:59,INS-W_1005,2021-04-18,evening,98.0,11.0,5.0
2021-04-18 23:59:59,INS-W_1005,2021-04-18,night,40.0,40.0,1.0
2021-04-19 05:59:59,INS-W_1005,2021-04-19,morning,98.0,90.0,7.0
2021-04-19 11:59:59,INS-W_1005,2021-04-19,afternoon,84.0,23.0,11.0
2021-04-19 17:59:59,INS-W_1005,2021-04-19,evening,63.0,11.0,3.0
2021-04-19 23:59:59,INS-W_1005,2021-04-19,night,39.0,40.0,4.0
2021-04-20 05:59:59,INS-W_1005,2021-04-20,morning,65.0,90.0,3.0
2021-04-20 11:59:59,INS-W_1005,2021-04-20,afternoon,65.0,26.666666666666668,7.0
2021-04-20 17:59:59,INS-W_1005,2021-04-20,evening,57.0,11.0,13.0
2021-04-20 23:59:59,INS-W_1005,2021-04-20,night,41.0,40.0,1.0
2021-04-21 05:59:59,INS-W_1005,2021-04-21,morning,67.07142857142857,90.0,3.0
2021-04-21 11:59:59,INS-W_1005,2021-04-21,afternoon,66.92857142857143,30.333333333333332,7.214285714285714
2021-04-21 17:59:59,INS-W_1005,2021-04-21,evening,53.61538461538461,11.0,12.153846153846153
2021-04-21 23:59:59,INS-W_1005,2021-04-21,night,40.92857142857143,40.0,1.0
2021-04-22 05:59:59,INS-W_1005,2021-04-22,morning,69.14285714285714,90.0,3.0
2021-04-22 11:59:59,INS-W_1005,2021-04-22,afternoon,68.85714285714286,34.0,7.428571428571429
2021-04-22 17:59:59,INS-W_1005,2021-04-22,evening,50.23076923076923,11.0,11.307692307692308
2021-04-22 23:59:59,INS-W_1005,2021-04-22,night,40.857142857142854,40.0,1.0
2021-04-23 05:59:59,INS-W_1005,2021-04-23,morning,71.21428571428571,90.0,3.0
2021-04-23 11:59:59,INS-W_1005,2021-04-23,afternoon,70.78571428571429,37.666666666666664,7.642857142857143
2021-04-23 17:59:59,INS-W_1005,2021-04-23,evening,46.84615384615385,11.0,10.461538461538462
2021-04-23 23:59:59,INS-W_1005,2021-04-23,night,40.785714285714285,40.0,1.0
2021-04-24 05:59:59,INS-W_1005,2021-04-24,morning,73.28571428571429,90.0,3.0
2021-04-24 11:59:59,INS-W_1005,2021-04-24,afternoon,72.71428571428571,41.333333333333336,7.857142857142857
2021-04-24 17:59:59,INS-W_1005,2021-04-24,evening,43.46153846153846,11.0,9.615384615384615
2021-04-24 23:59:59,INS-W_1005,2021-04-24,night,40.714285714285715,40.0,1.0
2021-04-25 05:59:59,INS-W_1005,2021-04-25,morning,75.35714285714286,90.0,3.0
2021-04-25 11:59:59,INS-W_1005,2021-04-25,afternoon,74.64285714285714,45.0,8.071428571428571
2021-04-25 17:59:59,INS-W_1005,2021-04-25,evening,40.07692307692308,11.0,8.76923076923077
2021-04-25 23:59:59,INS-W_1005,2021-04-25,night,40.642857142857146,40.0,1.0
2021-04-26 05:59:59,INS-W_1005,2021-04-26,morning,77.42857142857143,90.0,3.0
2021-04-26 11:59:59,INS-W_1005,2021-04-26,afternoon,76.57142857142857,48.666666666666664,8.285714285714286
2021-04-26 17:59:59,INS-W_1005,2021-04-26,evening,36.69230769230769,11.0,7.923076923076923
2021-04-26 23:59:59,INS-W_1005,2021-04-26,night,40.57142857142857,40.0,1.0
2021-04-27 05:59:59,INS-W_1005,2021-04-27,morning,79.5,90.0,3.0
2021-04-27 11:59:59,INS-W_1005,2021-04-27,afternoon,78.5,52.333333333333336,8.5
2021-04-27 17:59:59,INS-W_1005,2021-04-27,evening,33.30769230769231,11.0,7.076923076923077
2021-04-27 23:59:59,INS-W_1005,2021-04-27,night,40.5,40.0,1.0
2021-04-28 05:59:59,INS-W_1005,2021-04-28,morning,81.57142857142857,90.0,3.0
2021-04-28 11:59:59,INS-W_1005,2021-04-28,afternoon,80.42857142857143,56.0,8.714285714285714
2021-04-28 17:59:59,INS-W_1005,2021-04-28,evening,29.923076923076923,11.0,6.230769230769231
2021-04-28 23:59:59,INS-W_1005,2021-04-28,night,40.42857142857143,40.0,1.0
2021-04-29 05:59:59,INS-W_1005,2021-04-29,morning,83.64285714285714,90.0,3.0
2021-04-29 11:59:59,INS-W_1005,2021-04-29,afternoon,82.35714285714286,59.666666666666664,8.928571428571429
2021-04-29 17:59:59,INS-W_1005,2021-04-29,evening,26.53846153846154,11.0,5.384615384615385
2021-04-29 23:59:59,INS-W_1005,2021-04-29,night,40.357142857142854,40.0,1.0
2021-04-30 05:59:59,INS-W_1005,2021-04-30,morning,85.71428571428572,90.0,3.0
2021-04-30 11:59:59,INS-W_1005,2021-04-30,afternoon,84.28571428571428,63.333333333333336,9.142857142857142
2021-04-30 17:59:59,INS-W_1005,2021-04-30,evening,23.153846153846153,11.0,4.538461538461538
2021-04-30 23:59:59,INS-W_1005,2021-04-30,night,40.285714285714285,40.0,1.0
2021-05-01 05:59:59,INS-W_1005,2021-05-01,morning,87.78571428571428,90.0,3.0
2021-05-01 11:59:59,INS-W_1005,2021-05-01,afternoon,86.21428571428571,67.0,9.357142857142858
2021-05-01 17:59:59,INS-W_1005,2021-05-01,evening,19.769230769230766,11.0,3.6923076923076916
2021-05-01 23:59:59,INS-W_1005,2021-05-01,night,40.214285714285715,40.0,1.0
2021-05-02 05:59:59,INS-W_1005,2021-05-02,morning,89.85714285714286,90.0,3.0
2021-05-02 11:59:59,INS-W_1005,2021-05-02,afternoon,88.14285714285714,70.66666666666667,9.571428571428571
2021-05-02 17:59:59,INS-W_1005,2021-05-02,evening,16.384615384615387,11.0,2.8461538461538467
2021-05-02 23:59:59,INS-W_1005,2021-05-02,night,40.142857142857146,40.0,1.0
2021-05-03 05:59:59,INS-W_1005,2021-05-03,morning,91.92857142857143,90.0,3.0
2021-05-03 11:59:59,INS-W_1005,2021-05-03,afternoon,90.07142857142857,74.33333333333333,9.785714285714285
2021-05-03 17:59:59,INS-W_1005,2021-05-03,evening,13.0,11.0,2.0
2021-05-03 23:59:59,INS-W_1005,2021-05-03,night,40.07142857142857,40.0,1.0
2021-05-04 05:59:59,INS-W_1005,2021-05-04,morning,94.0,90.0,3.0
2021-05-04 11:59:59,INS-W_1005,2021-05-04,afternoon,92.0,78.0,10.0
2021-05-04 17:59:59,INS-W_1005,2021-05-04,evening,81.0,30.0,7.0
2021-05-04 23:59:59,INS-W_1005,2021-05-04,night,40.0,40.0,1.0
2021-05-05 05:59:59,INS-W_1005,2021-05-05,morning,82.0,80.0,3.0
2021-05-05 11:59:59,INS-W_1005,2021-05-05,afternoon,108.0,100.0,5.0
2021-05-05 17:59:59,INS-W_1005,2021-05-05,evening,117.0,108.0,6.0
2021-05-05 23:59:59,INS-W_1005,2021-05-05,night,54.0,54.0,1.0
2021-05-06 05:59:59,INS-W_1005,2021-05-06,morning,119.0,113.0,6.0
2021-05-06 11:59:59,INS-W_1005,2021-05-06,afternoon,107.0,105.0,3.0
2021-05-06 17:59:59,INS-W_1005,2021-05-06,evening,67.0,65.0,2.0
2021-05-06 23:59:59,INS-W_1005,2021-05-06,night,36.0,36.0,1.0
2021-05-07 05:59:59,INS-W_1005,2021-05-07,morning,95.0,91.0,4.0
2021-05-07 11:59:59,INS-W_1005,2021-05-07,afternoon,78.0,76.0,3.0
2021-05-07 17:59:59,INS-W_1005,2021-05-07,evening,62.0,55.0,5.0
2021-05-07 23:59:59,INS-W_1005,2021-05-07,night,39.0,39.0,1.0
2021-05-08 05:59:59,INS-W_1005,2021-05-08,morning,46.0,44.0,3.0
2021-05-08 11:59:59,INS-W_1005,2021-05-08,afternoon,92.0,62.0,10.0
2021-05-08 17:59:59,INS-W_1005,2021-05-08,evening,55.0,36.0,9.0
2021-05-08 23:59:59,INS-W_1005,2021-05-08,night,37.0,37.0,1.0
2021-05-09 05:59:59,INS-W_1005,2021-05-09,morning,53.0,51.0,3.0
2021-05-09 11:59:59,INS-W_1005,2021-05-09,afternoon,69.0,59.0,10.0
2021-05-09 17:59:59,INS-W_1005,2021-05-09,evening,83.0,81.0,2.0
2021-05-09 23:59:59,INS-W_1005,2021-05-09,night,38.0,38.0,1.0
2021-05-10 05:59:59,INS-W_1005,2021-05-10,morning,71.0,70.0,2.0
2021-05-10 11:59:59,INS-W_1005,2021-05-10,afternoon,90.0,70.0,8.0
2021-05-10 17:59:59,INS-W_1005,2021-05-10,evening,100.0,84.0,10.0
2021-05-10 23:59:59,INS-W_1005,2021-05-10,night,35.0,35.0,1.0
2021-05-11 05:59:59,INS-W_1005,2021-05-11,morning,59.0,56.0,3.0
2021-05-11 11:59:59,INS-W_1005,2021-05-11,afternoon,82.0,65.0,9.0
2021-05-11 17:59:59,INS-W_1005,2021-05-11,evening,88.0,80.0,4.0
2021-05-11 23:59:59,INS-W_1005,2021-05-11,night,39.0,39.0,1.0
2021-05-12 05:59:59,INS-W_1005,2021-05-12,morning,79.0,79.0,1.0
2021-05-12 11:59:59,INS-W_1005,2021-05-12,afternoon,83.0,60.0,10.0
2021-05-12 17:59:59,INS-W_1005,2021-05-12,evening,80.0,75.0,6.0
2021-05-12 23:59:59,INS-W_1005,2021-05-12,night,42.0,42.0,1.0
2021-05-13 05:59:59,INS-W_1005,2021-05-13,morning,84.0,82.0,3.0
2021-05-13 11:59:59,INS-W_1005,2021-05-13,afternoon,99.0,84.0,5.0
2021-05-13 17:59:59,INS-W_1005,2021-05-13,evening,90.0,73.75,2.0
2021-05-13 23:59:59,INS-W_1005,2021-05-13,night,45.0,45.0,1.0
2021-05-14 05:59:59,INS-W_1005,2021-05-14,morning,77.0,85.25,1.0
2021-05-14 11:59:59,INS-W_1005,2021-05-14,afternoon,67.0,66.33333333333334,1.0
2021-05-14 17:59:59,INS-W_1005,2021-05-14,evening,61.0,72.5,1.0
2021-05-14 23:59:59,INS-W_1005,2021-05-14,night,36.0,43.75,1.0
2021-05-15 05:59:59,INS-W_1005,2021-05-15,morning,68.0,88.5,1.0
2021-05-15 11:59:59,INS-W_1005,2021-05-15,afternoon,65.0,48.66666666666667,2.0
2021-05-15 17:59:59,INS-W_1005,2021-05-15,evening,48.0,71.25,1.0
2021-05-15 23:59:59,INS-W_1005,2021-05-15,night,36.0,42.5,1.0
2021-05-16 05:59:59,INS-W_1005,2021-05-16,morning,41.0,91.75,1.0
2021-05-16 11:59:59,INS-W_1005,2021-05-16,afternoon,69.0,31.0,5.0
2021-05-16 17:59:59,INS-W_1005,2021-05-16,evening,70.0,70.0,1.0
2021-05-16 23:59:59,INS-W_1005,2021-05-16,night,37.0,41.25,1.0
2021-05-17 05:59:59,INS-W_1005,2021-05-17,morning,96.0,95.0,2.0
2021-05-17 11:59:59,INS-W_1005,2021-05-17,afternoon,128.0,91.0,18.0
2021-05-17 17:59:59,INS-W_1005,2021-05-17,evening,91.0,87.0,5.0
2021-05-17 23:59:59,INS-W_1005,2021-05-17,night,40.0,40.0,1.0
2021-05-18 05:59:59,INS-W_1005,2021-05-18,morning,66.0,66.0,1.0
2021-05-18 11:59:59,INS-W_1005,2021-05-18,afternoon,82.0,79.0,3.0
2021-05-18 17:59:59,INS-W_1005,2021-05-18,evening,72.0,63.0,6.0
2021-05-18 23:59:59,INS-W_1005,2021-05-18,night,51.0,51.0,1.0
2021-05-19 05:59:59,INS-W_1005,2021-05-19,morning,62.0,62.0,1.0
2021-05-19 11:59:59,INS-W_1005,2021-05-19,afternoon,94.0,67.0,10.0
2021-05-19 17:59:59,INS-W_1005,2021-05-19,evening,93.0,92.0,2.0
2021-05-19 23:59:59,INS-W_1005,2021-05-19,night,50.0,50.0,1.0
2021-05-20 05:59:59,INS-W_1005,2021-05-20,morning,64.0,58.0,5.0
2021-05-20 11:59:59,INS-W_1005,2021-05-20,afternoon,115.0,83.0,13.0
2021-05-20 17:59:59,INS-W_1005,2021-05-20,evening,92.0,60.0,19.0
2021-05-20 23:59:59,INS-W_1005,2021-05-20,night,42.0,42.0,1.0
2021-05-21 05:59:59,INS-W_1005,2021-05-21,morning,59.0,59.0,1.0
2021-05-21 11:59:59,INS-W_1005,2021-05-21,afternoon,130.0,80.0,10.0
2021-05-21 17:59:59,INS-W_1005,2021-05-21,evening,60.0,56.0,4.0
2021-05-21 23:59:59,INS-W_1005,2021-05-21,night,36.0,36.0,1.0
2021-05-22 05:59:59,INS-W_1005,2021-05-22,morning,47.0,46.0,2.0
2021-05-22 11:59:59,INS-W_1005,2021-05-22,afternoon,78.0,77.0,2.0
2021-05-22 17:59:59,INS-W_1005,2021-05-22,evening,74.0,51.0,11.0
2021-05-22 23:59:59,INS-W_1005,2021-05-22,night,38.0,38.0,1.0
2021-05-23 05:59:59,INS-W_1005,2021-05-23,morning,65.0,61.0,3.0
2021-05-23 11:59:59,INS-W_1005,2021-05-23,afternoon,115.0,79.0,9.0
2021-05-23 17:59:59,INS-W_1005,2021-05-23,evening,92.0,51.0,7.0
2021-05-23 23:59:59,INS-W_1005,2021-05-23,night,46.0,46.0,1.0
2021-05-24 05:59:59,INS-W_1005,2021-05-24,morning,79.0,77.0,3.0
2021-05-24 11:59:59,INS-W_1005,2021-05-24,afternoon,86.0,71.0,7.0
2021-05-24 17:59:59,INS-W_1005,2021-05-24,evening,96.0,71.0,9.0
2021-05-24 23:59:59,INS-W_1005,2021-05-24,night,39.0,39.0,1.0
2021-05-25 05:59:59,INS-W_1005,2021-05-25,morning,121.0,59.0,5.0
2021-05-25 11:59:59,INS-W_1005,2021-05-25,afternoon,111.0,100.0,2.0
2021-05-25 17:59:59,INS-W_1005,2021-05-25,evening,70.0,54.0,9.0
2021-05-25 23:59:59,INS-W_1005,2021-05-25,night,39.0,39.0,1.0
2021-05-26 05:59:59,INS-W_1005,2021-05-26,morning,120.0,116.0,3.0
2021-05-26 11:59:59,INS-W_1005,2021-05-26,afternoon,85.0,65.0,7.0
2021-05-26 17:59:59,INS-W_1005,2021-05-26,evening,83.0,62.0,8.0
2021-05-26 23:59:59,INS-W_1005,2021-05-26,night,46.0,46.0,1.0
2021-05-27 05:59:59,INS-W_1005,2021-05-27,morning,87.0,84.0,4.0
2021-05-27 11:59:59,INS-W_1005,2021-05-27,afternoon,69.0,67.0,3.0
2021-05-27 17:59:59,INS-W_1005,2021-05-27,evening,232.0,197.0,11.0
2021-05-27 23:59:59,INS-W_1005,2021-05-27,night,43.0,43.0,1.0
2021-05-28 05:59:59,INS-W_1005,2021-05-28,morning,88.0,67.0,10.0
2021-05-28 11:59:59,INS-W_1005,2021-05-28,afternoon,102.0,53.0,14.0
2021-05-28 17:59:59,INS-W_1005,2021-05-28,evening,51.0,50.0,2.0
2021-05-28 23:59:59,INS-W_1005,2021-05-28,night,42.0,42.0,1.0
2021-05-29 05:59:59,INS-W_1005,2021-05-29,morning,92.0,74.0,5.0
2021-05-29 11:59:59,INS-W_1005,2021-05-29,afternoon,108.0,13.0,13.0
2021-05-29 17:59:59,INS-W_1005,2021-05-29,evening,22.0,10.0,3.0
2021-05-29 23:59:59,INS-W_1005,2021-05-29,night,39.0,39.0,1.0
2021-05-30 05:59:59,INS-W_1005,2021-05-30,morning,59.0,59.0,1.0
2021-05-30 11:59:59,INS-W_1005,2021-05-30,afternoon,88.0,63.0,13.0
2021-05-30 17:59:59,INS-W_1005,2021-05-30,evening,76.0,60.0,6.0
2021-05-30 23:59:59,INS-W_1005,2021-05-30,night,37.0,37.0,1.0
2021-05-31 05:59:59,INS-W_1005,2021-05-31,morning,56.0,56.0,1.0
2021-05-31 11:59:59,INS-W_1005,2021-05-31,afternoon,110.0,75.0,14.0
2021-05-31 17:59:59,INS-W_1005,2021-05-31,evening,86.0,84.0,3.0
2021-05-31 23:59:59,INS-W_1005,2021-05-31,night,41.0,41.0,1.0
2021-06-01 05:59:59,INS-W_1005,2021-06-01,morning,93.0,85.0,5.0
2021-06-01 11:59:59,INS-W_1005,2021-06-01,afternoon,83.0,71.0,8.0
2021-06-01 17:59:59,INS-W_1005,2021-06-01,evening,49.0,39.0,7.0
2021-06-01 23:59:59,INS-W_1005,2021-06-01,night,40.0,40.0,1.0
2021-06-02 05:59:59,INS-W_1005,2021-06-02,morning,82.0,78.0,2.0
2021-06-02 11:59:59,INS-W_1005,2021-06-02,afternoon,94.0,68.0,3.0
2021-06-02 17:59:59,INS-W_1005,2021-06-02,evening,76.0,68.0,4.0
2021-06-02 23:59:59,INS-W_1005,2021-06-02,night,42.0,42.0,1.0
2021-06-03 05:59:59,INS-W_1005,2021-06-03,morning,77.0,73.0,4.0
2021-06-03 11:59:59,INS-W_1005,2021-06-03,afternoon,111.0,100.0,5.0
2021-06-03 17:59:59,INS-W_1005,2021-06-03,evening,87.0,81.0,2.0
2021-06-03 23:59:59,INS-W_1005,2021-06-03,night,41.0,41.0,1.0
2021-06-04 05:59:59,INS-W_1005,2021-06-04,morning,90.0,63.0,12.0
2021-06-04 11:59:59,INS-W_1005,2021-06-04,afternoon,117.0,34.0,8.0
2021-06-04 17:59:59,INS-W_1005,2021-06-04,evening,49.0,7.0,4.0
2021-06-04 23:59:59,INS-W_1005,2021-06-04,night,45.0,45.0,1.0
2021-06-05 05:59:59,INS-W_1005,2021-06-05,morning,40.0,63.0,1.0
2021-06-05 11:59:59,INS-W_1005,2021-06-05,afternoon,81.0,31.0,1.0
2021-06-05 17:59:59,INS-W_1005,2021-06-05,evening,75.0,7.0,1.0
2021-06-05 23:59:59,INS-W_1005,2021-06-05,night,41.0,45.0,1.0
2021-06-06 05:59:59,INS-W_1005,2021-06-06,morning,47.0,63.0,1.0
2021-06-06 11:59:59,INS-W_1005,2021-06-06,afternoon,73.0,28.0,6.0
2021-06-06 17:59:59,INS-W_1005,2021-06-06,evening,57.0,7.0,6.0
2021-06-06 23:59:59,INS-W_1005,2021-06-06,night,38.0,45.0,1.0
2021-03-29 05:59:59,INS-W_1025,2021-03-29,morning,36.0,34.0,1.0
2021-03-29 11:59:59,INS-W_1025,2021-03-29,afternoon,32.0,2.0,1.0
2021-03-29 17:59:59,INS-W_1025,2021-03-29,evening,35.0,8.0,2.0
2021-03-29 23:59:59,INS-W_1025,2021-03-29,night,30.0,36.0,1.0
2021-03-30 05:59:59,INS-W_1025,2021-03-30,morning,36.0,34.0,1.0
2021-03-30 11:59:59,INS-W_1025,2021-03-30,afternoon,30.0,2.0,7.0
2021-03-30 17:59:59,INS-W_1025,2021-03-30,evening,35.0,8.0,2.0
2021-03-30 23:59:59,INS-W_1025,2021-03-30,night,16.0,36.0,1.0
2021-03-31 05:59:59,INS-W_1025,2021-03-31,morning,34.0,34.0,1.0
2021-03-31 11:59:59,INS-W_1025,2021-03-31,afternoon,37.0,2.1818181818181817,2.0
2021-03-31 17:59:59,INS-W_1025,2021-03-31,evening,36.0,8.0,1.0
2021-03-31 23:59:59,INS-W_1025,2021-03-31,night,36.0,36.0,1.0
2021-04-01 05:59:59,INS-W_1025,2021-04-01,morning,36.0,34.0,1.0
2021-04-01 11:59:59,INS-W_1025,2021-04-01,afternoon,36.0,2.3636363636363638,6.0
2021-04-01 17:59:59,INS-W_1025,2021-04-01,evening,32.0,8.0,1.0
2021-04-01 23:59:59,INS-W_1025,2021-04-01,night,36.0,36.0,1.0
2021-04-02 05:59:59,INS-W_1025,2021-04-02,morning,36.0,34.0,1.0
2021-04-02 11:59:59,INS-W_1025,2021-04-02,afternoon,36.0,2.5454545454545454,2.0
2021-04-02 17:59:59,INS-W_1025,2021-04-02,evening,29.0,8.0,2.0
2021-04-02 23:59:59,INS-W_1025,2021-04-02,night,24.0,36.0,1.0
2021-04-03 05:59:59,INS-W_1025,2021-04-03,morning,36.0,34.0,1.0
2021-04-03 11:59:59,INS-W_1025,2021-04-03,afternoon,36.0,2.727272727272727,2.0
2021-04-03 17:59:59,INS-W_1025,2021-04-03,evening,36.0,8.0,2.0
2021-04-03 23:59:59,INS-W_1025,2021-04-03,night,22.0,36.0,1.0
2021-04-04 05:59:59,INS-W_1025,2021-04-04,morning,36.0,34.0,1.0
2021-04-04 11:59:59,INS-W_1025,2021-04-04,afternoon,35.0,2.909090909090909,1.0
2021-04-04 17:59:59,INS-W_1025,2021-04-04,evening,36.0,8.0,1.0
2021-04-04 23:59:59,INS-W_1025,2021-04-04,night,36.0,36.0,1.0
2021-04-05 05:59:59,INS-W_1025,2021-04-05,morning,36.0,34.0,1.0
2021-04-05 11:59:59,INS-W_1025,2021-04-05,afternoon,36.0,3.090909090909091,1.0
2021-04-05 17:59:59,INS-W_1025,2021-04-05,evening,36.0,8.0,2.0
2021-04-05 23:59:59,INS-W_1025,2021-04-05,night,36.0,36.0,1.0
2021-04-06 05:59:59,INS-W_1025,2021-04-06,morning,24.0,34.0,1.0
